Abbrv,Teams,Abbrv,0,1,2,3,4
CIN,Cincinnati Reds,CIN,#FF0028,#000000,#FFFFFF,,
ARI,Arizona Diamondbacks,ARI,#A71930,#E3D4AD,#000000,#FFFFFF,
ATL,Atlanta Braves,ATL,#FFFFFF,#13274F,#CE1141,,
CHC,Chicago Cubs,CHC,#0E3386,#CC3433,#FFFFFF,,
COL,Colorado Rockies,COL,#333366,#C4CED4,#FFFFFF,#000000,
LAD,Los Angeles Dodgers,LAD,#FFFFFF,#005A9C,,,
MIA,Miami Marlins,MIA,#FFFFFF,#000000,#F9423A,#FFD100,#0077C8
MIL,Milwaukee Brewers,MIL,#FFFFFF,#182B49,#92754C,,
NYM,New York Mets,NYM,#FFFFFF,#002D72,#FF5910,,
PIT,Pittsburgh Pirates,PIT,#FFFFFF,#000000,#FDB827,,
PHI,Philadelphia Phillies,PHI,#FFFFFF,#BA0C2F,#003087,,
SDP,San Diego Padres,SDP,#FFFFFF,#041E42,#B3A369,,
SFG,San Francisco Giants,SFG,#000000,#FD5A1E,#E6D8AF,,
STL,St. Louis Cardinals,STL,#FFFFFF,#C41E3A,#000066,#FEDB00,
WSN,Washington Nationals,WSN,#FFFFFF,#AB0003,#11225B,,
BAL,Baltimore Orioles,BAL,#000000,#ED4C09,#FFFFFF,,
BOS,Boston Red Sox,BOS,#BD3039,#0D2B56,#FFFFFF,,
NYY,New York Yankees,NYY,#132448,#CCCCCC,#FFFFFF,,
TBR,Tampa Bay Rays,TBR,#092C5C,#8FBCE6,#FFFFFF,#F5D130,
TOR,Toronto Blue Jays,TOR,#134A8E,#1D2D5C,#FFFFFF,#E82A1E,
CHW,Chicago White Sox,CHW,#000000,#CCCCCC,#FFFFFF,,
CLE,Cleveland Indians,CLE,#002B5C,#E31937,#FFFFFF,,
DET,Detroit Tigers,DET,#0C2C56,#FF6600,#FFFFFF,,
KCR,Kansas City Royals,KCR,#004687,#74B4FA,#C09A5B,#FFFFFF,
MIN,Minnesota Twins,MIN,#042462,#D31145,#CFAB7A,#FFFFFF,
HOU,Houston Astros,HOU,#002D62,#EB6E1F,#FFFFFF,,
LAA,Los Angeles Angels of Anaheim,LAA,#BA0021,#003263,#FFFFFF,#C4CED4,
OAK,Oakland Athletics,OAK,#003831,#EFB21E,,,
SEA,Seattle Mariners,SEA,#002B5C,#006C67,#C4CED4,#FFFFFF,
TEX,Texas Rangers,TEX,#003278,#C0111F,#FFFFFF,,
