Tm,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,4.58,131,5076,4598,600,1210,233,50,147,565,108,26,368,1150,0.263,0.321,0.431,0.753,95,1984,99,42,34,33,34,914
ATL,3.7,131,5015,4478,485,1099,235,23,92,459,59,30,398,997,0.245,0.311,0.37,0.681,84,1656,119,46,53,39,41,932
CHC,5.1,130,5117,4442,663,1148,239,22,165,630,52,30,528,1091,0.258,0.345,0.434,0.779,108,1926,87,79,36,31,39,980
CIN,4.5,130,4882,4396,585,1097,220,24,142,549,113,38,371,1050,0.25,0.312,0.407,0.719,89,1791,104,40,42,32,31,783
COL,5.3,131,5062,4535,694,1240,260,36,167,661,55,32,420,1066,0.273,0.338,0.457,0.795,94,2073,95,35,44,28,31,891
LAD,4.47,131,5003,4473,586,1114,224,16,155,551,37,22,427,1059,0.249,0.32,0.41,0.73,98,1835,101,51,26,26,28,902
MIA,4.14,131,5021,4538,542,1217,220,32,106,518,48,18,374,985,0.268,0.328,0.401,0.729,97,1819,116,42,37,29,28,972
MIL,4.11,131,4920,4304,538,1057,203,14,148,514,147,43,506,1253,0.246,0.327,0.402,0.729,93,1732,104,28,45,34,26,897
NYM,3.9,131,4889,4380,511,1059,190,15,174,496,32,16,398,1077,0.242,0.31,0.411,0.721,93,1801,103,47,32,31,27,885
PHI,3.73,131,4817,4385,489,1053,189,30,132,461,72,34,329,1066,0.24,0.297,0.387,0.685,82,1698,89,40,37,26,27,827
PIT,4.56,129,4985,4431,588,1136,222,26,123,562,99,39,426,1070,0.256,0.329,0.401,0.731,94,1779,97,69,33,26,31,916
SDP,4.32,130,4850,4373,561,1036,212,18,148,531,108,36,375,1204,0.237,0.302,0.395,0.697,86,1728,81,43,28,29,22,782
SFG,4.51,130,5051,4478,586,1170,226,45,109,557,65,29,468,891,0.261,0.333,0.405,0.738,97,1813,103,32,35,34,37,961
STL,4.98,130,5051,4500,647,1161,245,28,187,618,30,20,434,1051,0.258,0.329,0.45,0.778,106,2023,84,55,30,31,26,918
WSN,4.85,131,5073,4481,635,1148,219,25,175,612,91,31,449,998,0.256,0.328,0.433,0.761,100,1942,80,53,36,54,41,905
